question_number,question_text,option_count,correct_answer_numbers,Required,keyword,image,option1,option1_length,option2,option2_length,option3,option3_length,option4,option4_length,correct_answer_text,short_last_option,question_length,rules
11,Biển nào chỉ dẫn người lái xe đi được cả hai hướng?,2,2,True,biển,True,Biển 1.,7,Biển 2.,7,,0,,0,Biển 2.,False,51,ルール1 100%
12,"Theo hướng mũi tên, thứ tự các xe đi như thế nào là đúng quy tắc giao thông?",4,4,True,giao thông,False,"Xe con (A), xe mô tô, xe con (B), xe đạp.",41,"Xe con (B), xe đạp, xe mô tô, xe con (A).",41,"Xe con (A), xe con (B), xe mô tô + xe đạp.",42,"Xe mô tô + xe đạp, xe con (A), xe con (B).",42,"Xe mô tô + xe đạp, xe con (A), xe con (B).",False,76,ルール1 100%
13,"Biển nào là biển ""Tốc độ tối đa cho phép về ban đêm""?",3,1,True,tốc độ,True,Biển 1.,7,Biển 2.,7,Cả hai biển.,12,,0,Biển 1.,False,53,ルール1 100%
14,"Trên đường bộ (trừ đường cao tốc) trong khu vực đông dân cư, đường hai chiều hoặc đường một chiều có một làn xe cơ giới, xe mô tô hai bánh, ô tô chở người đến 28 chỗ không kể chỗ của người lái xe tham gia giao thông với tốc độ khai thác tối đa cho phép là bao nhiêu?",3,2,True,xe mô tô,False,60 km/h.,8,50 km/h.,8,40 km/h.,8,,0,50 km/h.,False,266,ルール1 100%
15,"Biển nào dưới đây là biển ""Cầu hẹp""?",3,2,True,biển,True,Biển 1.,7,Biển 2.,7,Biển 3.,7,,0,Biển 2.,False,36,ルール1 100%
16,Phần của đường bộ được sử dụng cho phương tiện giao thông đường bộ đi lại là gì?,3,2,True,giao thông,False,Phần mặt đường và lề đường.,27,Phần đường xe chạy.,19,Phần đường xe cơ giới.,22,,0,Phần đường xe chạy.,False,80,ルール1 100%
17,"Theo hướng mũi tên, thứ tự các xe đi như thế nào là đúng quy tắc giao thông?",4,2,True,giao thông,False,"Xe tải, xe khách, xe con, xe mô tô.",35,"Xe tải, xe mô tô, xe khách, xe con.",35,"Xe khách, xe tải, xe con, xe mô tô.",35,"Xe mô tô, xe khách, xe tải, xe con.",35,"Xe tải, xe mô tô, xe khách, xe con.",False,76,ルール1 100%
18,Biển nào chỉ dẫn cho người đi bộ sử dụng cầu vượt qua đường?,4,1,True,biển,True,Biển 1.,7,Biển 2,6,Cả hai biển,13,Không biển nào.,17,Biển 1.,False,60,ルール1 100%
19,Các xe đi theo thứ tự nào là đúng quy tắc giao thông đường bộ?,3,3,True,giao thông,False,"Xe của bạn, xe mô tô, xe con.",29,"Xe con, xe của bạn, xe mô tô.",29,"Xe mô tô, xe con, xe của bạn.",29,,0,"Xe mô tô, xe con, xe của bạn.",False,62,ルール1 100%
20,Người lái xe phải làm gì để bảo đảm an toàn khi lái xe trên đường cong có tầm nhìn bị hạn chế?,3,1,True,an toàn,False,"Quan sát, giảm tốc độ hoặc dừng lại để bảo đảm an toàn.",55,Đi sang làn đường của xe ngược chiều để mở rộng tầm nhìn và vượt xe khác.,73,"Cho xe đi sát bên phải làn đường, bật tín hiệu báo hiệu để vượt bên phải xe khác.",81,,0,"Quan sát, giảm tốc độ hoặc dừng lại để bảo đảm an toàn.",False,94,ルール1 100%
21,"Trong tình huống dưới đây, xe đầu kéo kéo rơ moóc (xe container) đang rẽ phải, xe con màu xanh và xe máy phía sau xe container đi như thế nào để bảo đảm an toàn?",3,2,False,xe con,False,Vượt về phía bên phải để đi tiếp.,33,Giảm tốc độ chờ xe container rẽ xong rồi tiếp tục đi.,53,Vượt về phía bên trái để đi tiếp.,33,,0,Giảm tốc độ chờ xe container rẽ xong rồi tiếp tục đi.,False,161,ルール8 51%
22,"Khi điều khiển xe mô tô tay ga xuống đường dốc dài, độ dốc cao, người lái xe cần thực hiện các thao tác nào dưới đây để bảo đảm an toàn?",3,1,False,xe mô tô,False,"Giữ tay ga ở mức độ phù hợp, sử dụng phanh trước và phanh sau để giảm tốc độ.",77,"Nhả hết tay ga, tắt động cơ, sử dụng phanh trước và phanh sau để giảm tốc độ.",77,Sử dụng phanh trước để giảm tốc độ kết hợp với tắt chìa khóa điện của xe.,73,,0,"Giữ tay ga ở mức độ phù hợp, sử dụng phanh trước và phanh sau để giảm tốc độ.",False,136,ルール8 51%
23,"Khi đang lái xe mô tô hoặc ô tô, nếu có nhu cầu sử dụng điện thoại để nhắn tin hoặc gọi điện, người lái xe phải thực hiện như thế nào trong các tình huống nêu dưới đây?",3,2,False,xe mô tô,False,Giảm tốc độ để bảo đảm an toàn với xe phía trước và sử dụng điện thoại để liên lạc.,83,Giảm tốc độ để dừng xe ở nơi cho phép sau đó sử dụng điện thoại để liên lạc.,76,Tăng tốc độ để cách xa xe phía sau và sử dụng điện thoại để liên lạc.,69,,0,Giảm tốc độ để dừng xe ở nơi cho phép sau đó sử dụng điện thoại để liên lạc.,False,168,ルール8 51%
24,"Người được chở trên xe mô tô hai bánh, xe mô tô ba bánh, xe gắn máy khi tham gia giao thông đường bộ không được thực hiện hành vi nào sau đây?",4,4,False,xe mô tô,False,"Mang, vác vật cồng kềnh.",24,"Bám, kéo hoặc đẩy các phương tiện khác.",39,Dùng tay cầm điện thoại hoặc các thiết bị điện tử khác.,55,Ý 1 và ý 2.,11,Ý 1 và ý 2.,True,142,ルール9 60%
25,Trong trường hợp này xe nào đỗ vi phạm quy tắc giao thông?,4,1,False,giao thông,False,Xe tải.,7,Xe con và mô tô.,16,Cả ba xe.,9,Xe con và xe tải.,17,Xe tải.,False,58,ルール10 62%
26,"Để tránh đổ, ngã khi điều khiển xe mô tô hai bánh ở nơi đường xấu, nhỏ và hẹp, người lái xe cần xử lý như thế nào?",4,4,False,xe mô tô,False,"Đi ở tốc độ thấp, quan sát liên tục khoảng cách từ 05 m đến 10 m phía trước để điều chỉnh sớm hướng di chuyển.",110,Trong quá trình di chuyển không nên dùng phanh trước tránh làm khóa bánh dẫn hướng.,83,"Không được lắc người sang trái hoặc phải nhiều, trọng tâm cơ thể cần trùng với trọng tâm của xe.",96,Cả ba ý trên.,13,Cả ba ý trên.,True,114,ルール9 60%
27,"Theo tín hiệu đèn, xe nào được phép đi?",2,1,False,đèn,False,Xe con và xe khách.,19,Xe mô tô.,9,,0,,0,Xe con và xe khách.,True,39,ルール2 100%
28,Biển số 1 có ý nghĩa như thế nào?,3,3,False,biển,False,Đi thẳng hoặc rẽ trái trên cầu vượt.,36,Đi thẳng hoặc rẽ phải trên cầu vượt.,36,Báo hiệu cầu vượt liên thông.,29,,0,Báo hiệu cầu vượt liên thông.,False,33,ルール7 42%
29,"Biển nào báo hiệu ""Đường dành cho xe thô sơ""?",3,1,False,biển,True,Biển 1.,7,Biển 2.,7,Biển 3.,7,,0,Biển 1.,False,45,ルール3a 80%
30,"Khi điều khiển xe chạy trên đường, biết có xe sau xin vượt, nếu đủ điều kiện an toàn người điều khiển phương tiện phải làm gì?",3,2,False,an toàn,False,"Tăng tốc độ và ra hiệu cho xe sau vượt, không được gây trở ngại cho xe xin vượt.",80,"Giảm tốc độ, có tín hiệu rẽ phải để báo hiệu cho người điều khiển phương tiện tham gia giao thông đường bộ phía sau biết được vượt và đi sát về bên phải của phần đường xe chạy cho đến khi xe sau đã vượt qua, không được cản trở đối với xe xin vượt.",247,"Cho xe đi sát về bên trái của phần đường xe chạy và ra hiệu cho xe sau vượt, không được gây trở ngại cho xe xin vượt.",117,,0,"Giảm tốc độ, có tín hiệu rẽ phải để báo hiệu cho người điều khiển phương tiện tham gia giao thông đường bộ phía sau biết được vượt và đi sát về bên phải của phần đường xe chạy cho đến khi xe sau đã vượt qua, không được cản trở đối với xe xin vượt.",False,126,ルール5 78%
31,"Người lái xe phải giảm tốc độ thấp hơn tốc độ tối đa cho phép đến mức cần thiết, chú ý quan sát và chuẩn bị sẵn sàng những tình huống có thể xảy ra để phòng ngừa tai nạn trong các trường hợp nào dưới đây?",4,1,False,tốc độ,False,Gặp biển báo nguy hiểm và cảnh báo trên đường.,46,Gặp biển chỉ dẫn trên đường.,28,Gặp biển báo hết mọi lệnh cấm.,30,Gặp biển báo hết hạn chế tốc độ tối đa cho phép.,48,Gặp biển báo nguy hiểm và cảnh báo trên đường.,False,204,ルール10 62%
32,Biển nào xe mô tô hai bánh không được đi vào?,3,2,False,xe mô tô,True,Biển 1.,7,Biển 2.,7,Biển 3.,7,,0,Biển 2.,False,45,ルール3a 80%
33,"Trên đường bộ ngoài khu vực đông dân cư, đường đôi hoặc đường một chiều có từ hai làn xe cơ giới trở lên (trừ đường cao tốc) loại xe nào dưới đây được tham gia giao thông với tốc độ khai thác tối đa cho phép là 70 km/h?",4,3,False,tốc độ,False,"Xe ô tô chở người đến 28 chỗ không kể chỗ của người lái xe (trừ xe buýt); ô tô tải có trọng tải không lớn hơn 3,5 tấn.",118,"Xe ô tô chở người trên 28 chỗ không kể chỗ người lái xe (trừ xe buýt); ô tô tải có trọng tải trên 3,5 tấn (trừ ô tô xi téc).",124,"Xe buýt; ô tô đầu kéo kéo sơ mi rơ moóc (trừ ô tô đầu kéo kéo sơ mi rơ moóc xi téc); xe mô tô; ô tô chuyên dùng (trừ ô tô trộn vữa, ô tô trộn bê tông lưu động).",160,"Ô tô kéo rơ moóc; ô tô kéo xe khác; ô tô trộn vữa, ô tô trộn bê tông lưu động, ô tô xi téc, ô tô đầu kéo kéo sơ mi rơ moóc xi téc, ô tô kéo theo rơ moóc xi téc.",160,"Xe buýt; ô tô đầu kéo kéo sơ mi rơ moóc (trừ ô tô đầu kéo kéo sơ mi rơ moóc xi téc); xe mô tô; ô tô chuyên dùng (trừ ô tô trộn vữa, ô tô trộn bê tông lưu động).",False,219,ルール10 62%
34,"Để bảo đảm an toàn khi tham gia giao thông, người lái xe mô tô hai bánh cần điều khiển tay ga như thế nào?",4,3,False,xe mô tô,False,"Tăng ga thật mạnh, giảm ga từ từ.",33,"Tăng ga thật mạnh, giảm ga thật nhanh.",38,"Tăng ga từ từ, giảm ga thật nhanh.",34,"Tăng ga từ từ, giảm ga từ từ.",29,"Tăng ga từ từ, giảm ga thật nhanh.",False,106,ルール10 62%
35,"Trong các hành vi dưới đây, người lái xe có văn hóa giao thông phải ứng xử như thế nào?",3,1,False,giao thông,False,"Điều khiển xe đi bên phải theo chiều đi của mình; đi đúng phần đường, làn đường quy định; dừng, đỗ xe đúng nơi quy định; đã uống rượu, bia thì không lái xe.",156,"Điều khiển xe đi trên phần đường, làn đường có ít phương tiện giao thông; dừng xe, đỗ xe ở nơi thuận tiện hoặc theo yêu cầu của hành khách, của người thân.",155,"Dừng và đỗ xe ở nơi thuận tiện cho việc chuyên chở hành khách và giao nhận hàng hóa; sử dụng ít rượu, bia thì có thể lái xe.",124,,0,"Điều khiển xe đi bên phải theo chiều đi của mình; đi đúng phần đường, làn đường quy định; dừng, đỗ xe đúng nơi quy định; đã uống rượu, bia thì không lái xe.",False,87,ルール5 78%
36,Tay ga trên xe mô tô hai bánh có tác dụng gì dưới đây?,4,4,False,xe mô tô,False,Để điều khiển xe chạy về phía trước.,36,Để điều tiết công suất động cơ qua đó điều khiển tốc độ của xe.,63,Để điều khiển xe chạy lùi.,26,Ý 1 và ý 2.,11,Ý 1 và ý 2.,True,54,ルール9 60%
37,"Khi tham gia giao thông đường bộ, người lái xe phải mang theo các giấy tờ gì?",4,4,False,giao thông,False,"Chứng nhận đăng ký xe hoặc bản sao Chứng nhận đăng ký xe có chứng thực kèm bản gốc giấy tờ xác nhận của tổ chức tín dụng, chi nhánh ngân hàng nước ngoài còn hiệu lực trong trường hợp xe đang được thế chấp tại tổ chức tín dụng, chi nhánh ngân hàng nước ngoài.",258,Giấy phép lái xe phù hợp với loại xe đang điều khiển; chứng nhận kiểm định an toàn kỹ thuật và bảo vệ môi trường đối với xe cơ giới theo quy định của pháp luật; chứng nhận bảo hiểm bắt buộc trách nhiệm dân sự của chủ xe cơ giới.,228,"Trường hợp các giấy tờ nêu trên đã được tích hợp vào tài khoản định danh điện tử thì việc xuất trình, kiểm tra có thể thực hiện thông qua tài khoản định danh điện tử.",166,Cả ba ý trên.,13,Cả ba ý trên.,True,77,ルール9 60%
38,"Người lái xe, người được chở trên xe mô tô hai bánh, xe mô tô ba bánh, xe gắn máy phải thực hiện quy định nào dưới đây?",3,1,False,xe mô tô,False,Đội mũ bảo hiểm theo đúng quy chuẩn kỹ thuật quốc gia và cài quai đúng quy cách.,80,"Người lái xe phải đội mũ bảo hiểm, người được chở trên xe không nhất thiết phải đội mũ bảo hiểm.",96,Phải đội mũ bảo hiểm nhưng không nhất thiết phải cài quai.,58,,0,Đội mũ bảo hiểm theo đúng quy chuẩn kỹ thuật quốc gia và cài quai đúng quy cách.,False,119,ルール8 51%
39,"Biển nào báo hiệu, chỉ dẫn xe đi trên đường này được quyền ưu tiên qua nơi giao nhau?",4,2,False,biển,True,Biển 1 và biển 2.,17,Biển 1 và biển 3.,17,Biển 2 và biển 3.,17,Cả ba biển.,11,Biển 1 và biển 3.,False,85,ルール3b 80%
40,"Người lái xe phải giảm tốc độ, có tín hiệu rẽ phải và đi sát về bên phải của phần đường xe chạy trong các trường hợp nào dưới đây?",4,3,False,tốc độ,False,Khi xe chạy phía trước có tín hiệu vượt xe khác.,48,Khi phía trước có xe chạy ngược chiều.,38,Khi xe sau xin vượt nếu đủ điều kiện an toàn.,45,Khi xe sau có tín hiệu vượt bên phải.,37,Khi xe sau xin vượt nếu đủ điều kiện an toàn.,False,130,ルール10 62%
41,"Theo hướng mũi tên, xe nào được phép đi?",4,3,False,theo,False,"Xe mô tô, xe con.",17,"Xe con, xe tải.",15,"Xe mô tô, xe tải.",17,Cả ba xe.,9,"Xe mô tô, xe tải.",True,40,ルール9 60%
42,Biển nào cấm các phương tiện rẽ trái?,4,1,False,biển,True,Biển 1 và 2.,12,Biển 1 và 3.,12,Biển 2 và 3.,12,Cả ba biển.,11,Biển 1 và 2.,False,37,ルール3b 80%
43,Biển này có ý nghĩa như thế nào?,3,2,False,biển,False,Chỉ hướng đi phải theo.,23,Biển báo hiệu cho người lái xe biết số lượng làn đường trên mặt đường và hướng đi trên mỗi làn đường phải theo.,111,Chỉ hướng đường phải theo.,26,,0,Biển báo hiệu cho người lái xe biết số lượng làn đường trên mặt đường và hướng đi trên mỗi làn đường phải theo.,True,32,ルール8 51%
44,Xe nào vi phạm quy tắc giao thông?,4,3,False,giao thông,False,Xe khách.,9,Xe mô tô.,9,Xe con.,7,Xe con và xe mô tô.,19,Xe con.,False,34,ルール10 62%
45,"Người điều khiển xe mô tô phải quan sát, giảm tốc độ hoặc dừng lại để bảo đảm an toàn trong các trường hợp nào dưới đây?",4,4,False,xe mô tô,False,"Đường hẹp, đường vòng, đường quanh co, đường đèo, dốc.",54,"Nơi cầu, cống hẹp, đập tràn, đường ngầm, hầm chui, hầm đường bộ.",64,"Trời mưa, gió, sương, khói, bụi, mặt đường trơn trượt, lầy lội, có nhiều đất đá, vật liệu rơi vãi ảnh hưởng đến an toàn giao thông đường bộ.",140,Cả ba ý trên.,13,Cả ba ý trên.,True,120,ルール9 60%
46,"Khi điều khiển xe mô tô hai bánh, xe mô tô ba bánh, xe gắn máy, những hành vi nào sau đây không được phép?",4,1,False,xe mô tô,False,"Buông cả hai tay; sử dụng xe để kéo, đẩy xe khác, vật khác; sử dụng chân chống hoặc vật khác quệt xuống đường khi xe đang chạy.",127,Sử dụng xe để chở người hoặc hàng hóa; để chân chạm xuống đất khi khởi hành.,76,Đội mũ bảo hiểm; chạy xe đúng tốc độ quy định và chấp hành đúng quy tắc giao thông đường bộ.,92,Chở người ngồi sau dưới 16 tuổi.,32,"Buông cả hai tay; sử dụng xe để kéo, đẩy xe khác, vật khác; sử dụng chân chống hoặc vật khác quệt xuống đường khi xe đang chạy.",True,106,ルール9 60%
47,Trường hợp này xe nào được quyền đi trước?,2,1,False,trường,False,Xe con.,7,Xe mô tô.,9,,0,,0,Xe con.,False,42,ルール2 100%
48,"Để đạt được hiệu quả phanh cao nhất, người lái xe mô tô phải sử dụng các kỹ năng như thế nào dưới đây?",3,3,False,xe mô tô,False,Sử dụng phanh trước.,20,Sử dụng phanh sau.,18,"Giảm hết ga, sử dụng đồng thời cả phanh sau và phanh trước.",59,,0,"Giảm hết ga, sử dụng đồng thời cả phanh sau và phanh trước.",False,102,ルール8 51%
49,"Khi đến chỗ giao nhau, gặp biển nào thì người lái xe không được cho xe đi thẳng, phải rẽ sang hướng khác?",4,1,False,biển,True,Biển 1 và biển 2.,17,Biển 1 và biển 3.,17,Biển 2 và biển 3.,17,Cả ba biển.,11,Biển 1 và biển 2.,False,105,ルール3b 80%
50,"Vạch kẻ đường nào dưới đây là vạch phân chia hai chiều xe chạy (vạch tim đường), xe không được lấn làn, không được đè lên vạch?",4,2,False,vạch,False,Vạch 1.,7,Vạch 2.,7,Vạch 3.,7,Cả ba vạch.,11,Vạch 2.,False,127,ルール10 62%
51,Khi tham gia giao thông việc sử dụng còi xe nên dùng như thế nào để thể hiện là người có văn hóa giao thông?,4,1,False,giao thông,False,"Chỉ bấm còi khi thật sự cần thiết, không bấm còi liên tục hoặc kéo dài, sử dụng còi với mức âm lượng theo quy định.",115,Bấm còi liên tục để các xe khác nhường đường.,45,Bấm còi to khi đi qua khu vực đông dân cư.,42,"Không cần dùng còi, tránh gây tiếng ồn là văn minh.",51,"Chỉ bấm còi khi thật sự cần thiết, không bấm còi liên tục hoặc kéo dài, sử dụng còi với mức âm lượng theo quy định.",True,108,ルール9 60%
52,Người điều khiển giao thông đường bộ được hiểu như thế nào là đúng?,3,2,False,giao thông,False,Là người điều khiển phương tiện tham gia giao thông đường bộ.,61,Là Cảnh sát giao thông và người được giao nhiệm vụ hướng dẫn giao thông trên đường bộ.,86,Là người tham gia giao thông đường bộ.,38,,0,Là Cảnh sát giao thông và người được giao nhiệm vụ hướng dẫn giao thông trên đường bộ.,True,67,ルール8 51%
53,Biển nào dưới đây xe mô tô hai bánh được đi vào?,4,3,False,xe mô tô,True,Không biển nào.,15,Biển 1 và biển 2.,17,Biển 2 và biển 3.,17,Cả ba biển.,11,Biển 2 và biển 3.,False,48,ルール3b 80%
54,"Chiều dài đoạn đường 500 m từ nơi đặt biển này, người lái xe có được phép bấm còi không?",2,2,False,biển,False,Được phép.,10,Không được phép.,16,,0,,0,Không được phép.,False,88,ルール2 100%
55,"Biển nào báo hiệu ""Đường giao nhau"" của các tuyến đường cùng cấp?",3,1,False,biển,True,Biển 1.,7,Biển 2.,7,Biển 3.,7,,0,Biển 1.,False,65,ルール3a 80%
56,Người điều khiển phương tiện tham gia giao thông trong hầm đường bộ ngoài việc phải tuân thủ các quy tắc giao thông còn phải thực hiện những quy định nào dưới đây?,3,1,False,giao thông,False,"Xe cơ giới, xe máy chuyên dùng phải bật đèn chiếu gần; xe thô sơ phải bật đèn hoặc có vật phát sáng báo hiệu; không dừng xe, đỗ xe trong hầm đường bộ; trường hợp gặp sự cố kỹ thuật hoặc bất khả kháng khác buộc phải dừng xe, đỗ xe, người lái xe, người điều khiển xe máy chuyên dùng phải đưa xe vào vị trí dừng xe, đỗ xe khẩn cấp, nếu không di chuyển được, phải có báo hiệu bằng đèn khẩn cấp và đặt biển hoặc đèn cảnh báo về phía sau xe khoảng cách bảo đảm an toàn.",463,"Xe cơ giới, xe máy chuyên dùng phải bật đèn chiếu xa; được dừng xe, đỗ xe khi cần thiết.",88,"Phải cho xe chạy trên một làn đường và chỉ chuyển làn ở nơi được phép; được quay đầu xe, lùi xe khi cần thiết.",110,,0,"Xe cơ giới, xe máy chuyên dùng phải bật đèn chiếu gần; xe thô sơ phải bật đèn hoặc có vật phát sáng báo hiệu; không dừng xe, đỗ xe trong hầm đường bộ; trường hợp gặp sự cố kỹ thuật hoặc bất khả kháng khác buộc phải dừng xe, đỗ xe, người lái xe, người điều khiển xe máy chuyên dùng phải đưa xe vào vị trí dừng xe, đỗ xe khẩn cấp, nếu không di chuyển được, phải có báo hiệu bằng đèn khẩn cấp và đặt biển hoặc đèn cảnh báo về phía sau xe khoảng cách bảo đảm an toàn.",False,163,ルール5 78%
57,"Trong các loại nhiên liệu dưới đây, loại nhiên liệu nào giảm thiểu ô nhiễm môi trường?",3,2,False,loại,False,Xăng và dầu diesel.,19,Xăng sinh học và khí sinh học.,30,Ý 1 và ý 2.,11,,0,Xăng sinh học và khí sinh học.,True,86,ルール8 51%
58,Biển nào cấm các phương tiện rẽ phải?,4,1,False,biển,True,Biển 1 và 2.,12,Biển 1 và 3.,12,Biển 2 và 3.,12,Cả ba biển.,11,Biển 1 và 2.,False,37,ルール3b 80%
59,"Trong nhóm các phương tiện giao thông đường bộ dưới đây, nhóm phương tiện nào là xe cơ giới?",2,2,False,giao thông,False,"Xe ô tô; máy kéo; xe mô tô hai bánh; xe mô tô ba bánh; xe gắn máy; xe cơ giới dùng cho người khuyết tật và xe máy chuyên dùng; xe đạp, xe đạp máy, xe đạp điện.",159,"Xe ô tô; rơ moóc được kéo bởi xe ô tô; sơ mi rơ moóc được kéo bởi ô tô đầu kéo; xe chở người bốn bánh có gắn động cơ; xe chở hàng bốn bánh có gắn động cơ; xe mô tô, xe gắn máy và các loại xe tương tự.",200,,0,,0,"Xe ô tô; rơ moóc được kéo bởi xe ô tô; sơ mi rơ moóc được kéo bởi ô tô đầu kéo; xe chở người bốn bánh có gắn động cơ; xe chở hàng bốn bánh có gắn động cơ; xe mô tô, xe gắn máy và các loại xe tương tự.",False,92,ルール2 100%
60,Xe nào được quyền đi trước trong trường hợp này?,2,2,False,quyền,False,Xe con.,7,Xe mô tô.,9,,0,,0,Xe mô tô.,False,48,ルール2 100%
61,"Trên đường không phân chia thành hai chiều xe chạy riêng biệt, người điều khiển phương tiện tham gia giao thông đường bộ phải tránh xe đi ngược chiều như thế nào để bảo đảm an toàn?",3,1,False,giao thông,False,Giảm tốc độ và cho xe đi về bên phải theo chiều xe chạy của mình.,65,Một trong hai xe phải dừng lại cho xe kia đi qua mới được đi.,61,"Tăng tốc độ, cho xe đi về bên phải theo chiều xe chạy của mình để nhanh chóng vượt qua.",87,,0,Giảm tốc độ và cho xe đi về bên phải theo chiều xe chạy của mình.,False,181,ルール8 51%
62,"Gặp biển báo này, người tham gia giao thông phải xử lý như thế nào?",3,3,False,biển,False,Dừng xe tại khu vực có trạm Cảnh sát giao thông.,48,Tiếp tục lưu thông với tốc độ bình thường.,42,Phải giảm tốc độ đến mức an toàn và không được vượt khi đi qua khu vực này.,75,,0,Phải giảm tốc độ đến mức an toàn và không được vượt khi đi qua khu vực này.,False,67,ルール8 51%
63,Người điều khiển phương tiện tham gia giao thông đường bộ mà trong máu hoặc hơi thở có nồng độ cồn có bị nghiêm cấm không?,3,1,False,giao thông,False,Bị nghiêm cấm.,14,Không bị nghiêm cấm.,20,"Không bị nghiêm cấm, nếu nồng độ cồn trong máu ở mức nhẹ, có thể điều khiển phương tiện tham gia giao thông.",108,,0,Bị nghiêm cấm.,False,122,ルール5 78%
